last_updated,title,leilao,link,valor,lote,view
,CASA EM AVARÉ/SP,"14/08/2019, 20:32:19",https://www.guariglialeiloes.com.br/lote/17406/show,"R$100.000,00",, visualizações: 262 
,"LOTE 1,BERENICE GOUSSAIN MARTINEZ","14/08/2019, 20:32:19",https://www.guariglialeiloes.com.br/lote/17050/show,"R$120.715,91",, visualizações: 3111 
,SCANIA/- R113 H 4X2 360 - G*****0 - 1997 - 1997 - DIESEL,"14/08/2019, 20:32:20",https://www.guariglialeiloes.com.br/lote/17911/show,"R$20.000,00",, visualizações: 042 
,"LOTE 30,NISSAN/LIVINA 16S - K*****4 - 2010 - 2011 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17691/show,"R$11.000,00",, visualizações: 1088 
,"LOTE 27,FORD/FIESTA SEDAN1.6FLEX - L*****6 - 2013 - 2013 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17687/show,"R$12.600,00",, visualizações: 150 
,"LOTE 1,FIAT/PALIO ATTRACT 1.0 - L*****3 - 2014 - 2015 - ALC/GAS","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17681/show,"R$17.200,00",, visualizações: 1055 
,"LOTE 29,VOLKSWAGEN/SPACEFOX TREND GII - N*****3 - 2011 - 2012 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17690/show,"R$14.200,00",, visualizações: 1428 
,"LOTE 28,RENAULT/SANDERO EXP 16HP - F*****3 - 2013 - 2014 - ALC/GAS","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17689/show,"R$13.200,00",, visualizações: 758 
,"LOTE 24,CITROEN/C3 GLX 14 FLEX - K*****5 - 2010 - 2011 - ALC/GAS","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17685/show,"R$8.800,00",, visualizações: 607 
,"LOTE 26,VOLKSWAGEN/GOL 1.0 GIV - K*****2 - 2008 - 2009 - ALC/GAS","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17688/show,"R$6.400,00",, visualizações: 1627 
,"LOTE 25,CHEVROLET/MERIVA JOY - K*****2 - 2007 - 2008 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17686/show,"R$7.200,00",, visualizações: 347 
,"LOTE 23,FORD/ECOSPORT XLT1.6FLEX - A*****1 - 2005 - 2006 - ALC/GAS","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17683/show,"R$8.800,00",, visualizações: 1060 
,"LOTE 22,CHEVROLET/AGILE LTZ - L*****1 - 2012 - 2013 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17682/show,"R$10.200,00",, visualizações: 1437 
,"LOTE 21,FORD/FIESTA FLEX - K*****4 - 2010 - 2011 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17680/show,"R$8.800,00",, visualizações: 953 
,"LOTE 20,FIAT/PALIO WEEK TREKKING - L*****3 - 2008 - 2009 - ALC/GAS/GNV","14/08/2019, 20:32:21",https://www.guariglialeiloes.com.br/lote/17669/show,"R$7.400,00",, visualizações: 983 
,HONDA/XRE 190 - L*****2 - 2019 - 2019 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17819/show,"R$9.000,00",, visualizações: 239 
,"LOTE 19,FIAT/STILO FLEX - K*****3 - 2007 - 2007 - ALC/GAS","14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17673/show,"R$7.400,00",, visualizações: 1128 
,CHEVROLET/CORSA SEDAN PREMIUM - D*****0 - 2006 - 2007 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17817/show,"R$6.000,00",, visualizações: 418 
,FORD/KA SE 1.0 SD B - Q*****8 - 2016 - 2017 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17815/show,"R$20.000,00",, visualizações: 415 
,CITROEN/C3 XTR 14 FLEX - H*****5 - 2009 - 2009 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17816/show,"R$8.000,00",, visualizações: 192 
,FIAT/PALIO FIRE ECONOMY - H*****5 - 2011 - 2012 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17812/show,"R$10.000,00",, visualizações: 143 
,VOLKSWAGEN/GOL 1.0 - D*****1 - 2007 - 2007 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17811/show,"R$6.000,00",, visualizações: 177 
,PEUGEOT/207 PASSION XS - E*****2 - 2010 - 2011 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17810/show,"R$9.000,00",, visualizações: 152 
,VOLKSWAGEN/SAVEIRO CE - O*****0 - 2013 - 2014 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17806/show,"R$16.000,00",, visualizações: 300 
,VOLKSWAGEN/FOX 1.0 GII - O*****1 - 2011 - 2011 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17808/show,"R$10.000,00",, visualizações: 591 
,VOLKSWAGEN/VOYAGE 1.0 - O*****2 - 2012 - 2013 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17807/show,"R$12.000,00",, visualizações: 384 
,HONDA/CB 500 X - S*****2 - 2019 - 2019 - GASOLINA,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17805/show,"R$16.000,00",, visualizações: 745 
,FORD/FIESTA 1.6 FLEX - K*****3 - 2012 - 2013 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17804/show,"R$12.000,00",, visualizações: 142 
,FIAT/PALIO FIRE FLEX - G*****0 - 2006 - 2007 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17803/show,"R$6.000,00",, visualizações: 365 
,FIAT/PUNTO ELX 1.4 - D*****3 - 2008 - 2008 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17802/show,"R$9.000,00",, visualizações: 290 
,PEUGEOT/207 HB XS - H*****8 - 2009 - 2010 - ALC/GAS,"14/08/2019, 20:32:22",https://www.guariglialeiloes.com.br/lote/17801/show,"R$8.000,00",, visualizações: 223 
,CHEVROLET/CORSA CLASSIC - H*****8 - 2004 - 2004 - GASOLINA,"14/08/2019, 20:32:23",https://www.guariglialeiloes.com.br/lote/17800/show,"R$5.000,00",, visualizações: 380 
,HONDA/CB 300R - F*****8 - 2013 - 2014 - ALC/GAS,"14/08/2019, 20:32:23",https://www.guariglialeiloes.com.br/lote/17799/show,"R$4.200,00",, visualizações: 388 
,KIA/CARNIVAL EX 3.8 - K*****3 - 2008 - 2009 - GASOLINA,"14/08/2019, 20:32:23",https://www.guariglialeiloes.com.br/lote/17798/show,"R$18.000,00",, visualizações: 282 
,CHEVROLET/CORSA HATCH MAXX - K*****5 - 2008 - 2009 - ALC/GAS,"14/08/2019, 20:32:23",https://www.guariglialeiloes.com.br/lote/17797/show,"R$10.000,00",, visualizações: 362 
