last_updated,title,leilao,link,valor,lote,view
,"LOTE 1,BERENICE GOUSSAIN MARTINEZ",,https://www.guariglialeiloes.com.br/lote/17050/show,"R$120.715,91",, visualizações: 812 
,LAMBORGHINI/GALLARDO - A*****8 - 2005 - 2006 - GASOLINA,,https://www.guariglialeiloes.com.br/lote/17138/show,"R$240.000,00",, visualizações: 2286 
,CHEVROLET/S10 ADV FD2 - Q*****6 - 2016 - 2017 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17008/show,"R$48.000,00",, visualizações: 1104 
,CHEVROLET/ONIX 1.4MT LTZ - K*****9 - 2014 - 2015 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17003/show,"R$25.800,00",, visualizações: 461 
,CHEVROLET/PRISMA 10MT JOYE - P*****5 - 2018 - 2018 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17007/show,"R$26.000,00",, visualizações: 215 
,CHEVROLET/CORSA HATCH MAXX - M*****9 - 2010 - 2011 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17004/show,"R$12.000,00",, visualizações: 307 
,CHEVROLET/PRISMA 1.0MT LT - P*****6 - 2015 - 2015 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17006/show,"R$18.000,00",, visualizações: 532 
,FORD/FOCUS HC FLEX - O*****2 - 2012 - 2013 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17005/show,"R$20.600,00",, visualizações: 625 
,CHEVROLET/SPIN 1.8L AT LTZ - B*****2 - 2018 - 2018 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16984/show,"R$42.000,00",, visualizações: 716 
,CHEVROLET/CAPTIVA SPORT 2.4 - A*****8 - 2012 - 2012 - GASOLINA,,https://www.guariglialeiloes.com.br/lote/17000/show,"R$25.000,00",, visualizações: 786 
,CHEVROLET/COBALT 18A LTZ - F*****8 - 2017 - 2017 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17001/show,"R$34.000,00",, visualizações: 298 
,FORD/KA SE 1.0 SD B - I*****4 - 2016 - 2017 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/17002/show,"R$21.000,00",, visualizações: 467 
,CHEVROLET/ONIX 1.0MT LT - O*****3 - 2014 - 2015 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16997/show,"R$22.000,00",, visualizações: 349 
,CHEVROLET/ONIX 1.4MT LTZ - P*****1 - 2016 - 2017 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16998/show,"R$30.000,00",, visualizações: 381 
,CHEVROLET/PRISMA 1.4MT LTZ - P*****9 - 2017 - 2018 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16999/show,"R$34.000,00",, visualizações: 425 
,CHEVROLET/SPIN 1.8L AT LT - P*****8 - 2015 - 2016 - ALC/GAS/GNV,,https://www.guariglialeiloes.com.br/lote/16996/show,"R$30.000,00",, visualizações: 182 
,VOLKSWAGEN/GOL 1.0 - K*****3 - 2008 - 2009 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16995/show,"R$10.400,00",, visualizações: 894 
,CHEVROLET/ONIX 1.4AT ACT - G*****9 - 2017 - 2018 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16989/show,"R$36.000,00",, visualizações: 838 
,CHEVROLET/PRISMA 10MT JOYE - L*****0 - 2017 - 2017 - ALC/GAS,,https://www.guariglialeiloes.com.br/lote/16993/show,"R$24.600,00",, visualizações: 277 
